KO,EC,RXN
K00001,1.1.1.1,"R00623;R00623  primary_alcohol:NAD+ oxidoreductase;R00754;R00754  ethanol:NAD+ oxidoreductase;R02124;R02124  retinol:NAD+ oxidoreductase;R04805;R04880;R04880  3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase;R05233;R05233  trans-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R05234;R05234  cis-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R06917;R06917  1-hydroxymethylnaphthalene:NAD+ oxidoreductase;R06927;R06927  (2-naphthyl)methanol:NAD+ oxidoreductase;R07105;R07105  trichloroethanol:NAD+ oxidoreductase;R08281;R08281  alcophosphamide:NAD+ oxidoreductase;R08306;R08306  2-phenyl-1,3-propanediol monocarbamate:NAD+ oxidoreductase;R08310;R08310  4-hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one:NAD+ oxidoreductase"
K00003,1.1.1.3,R01773;R01773  L-homoserine:NAD+ oxidoreductase;R01775;R01775  L-homoserine:NADP+ oxidoreductase
K00004,1.1.1.303;1.1.1.4,"R02855;R02855  (R)-acetoin:NAD+ oxidoreductase;R02946;R02946  (R,R)-butane-2,3-diol:NAD+ oxidoreductase;R10504;R10504  meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"
K00005,1.1.1.6,"R01034;R01034  glycerol:NAD+ 2-oxidoreductase;R10715;R10717;R10717  propane-1,2-diol:NAD+ 2-oxidoreductase"
K00007,1.1.1.11,R00868;R00868  D-mannitol:NAD+ 2-oxidoreductase;R05604;R05604  D-arabinitol:NAD 4-oxidoreductase
K00008,1.1.1.14,R00875;R00875  D-glucitol:NAD+ 2-oxidoreductase;R01896;R01896  xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)
K00009,1.1.1.17,R00758;R00758  D-mannitol-1-phosphate:NAD+ 5-oxidoreductase;R02703;R02703  D-mannitol-1-phosphate:NAD+ 5-oxidoreductase
K00010,1.1.1.18;1.1.1.369,R01183;R01183  myo-inositol:NAD+ 2-oxidoreductase;R09951;R09951  1D-chiro-inositol:NAD+ oxidoreductase
K00012,1.1.1.22,R00286;R00286  UDP-glucose:NAD+ 6-oxidoreductase
K00013,1.1.1.23,R01158;R01158  L-histidinol:NAD+ oxidoreductase;R01163;R01163  L-histidinal:NAD+ oxidoreductase;R03012;R03012  L-histidinol:NAD+ oxidoreductase
K00014,1.1.1.25,R02413;R02413  shikimate:NADP+ 3-oxidoreductase;R12885
K00016,1.1.1.27,R00703;R00703  (S)-lactate:NAD+ oxidoreductase;R01000;R01000  2-hydroxybutyrate:NAD+ oxidoreductase;R03104;R03104  3-mercaptolactate:NAD+ oxidoreductase
K00018,1.1.1.29,R00717;R00717  glycolate:NAD+ oxidoreductase;R01388;R01388  D-glycerate:NAD+ 2-oxidoreductase
K00023,1.1.1.36,R01779;R01779  (3R)-3-hydroxyacyl-CoA:NADP+ oxidoreductase;R01977;R01977  (R)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase
K00024,1.1.1.37,R00342;R00342  (S)-malate:NAD+ oxidoreductase;R07136;R07136  (2R)-3-sulfolactate:NAD+ oxidoreductase
K00027,1.1.1.38,R00214;R00214  (S)-malate:NAD+ oxidoreductase (decarboxylating)
K00029,1.1.1.40,R00216;R00216  (S)-malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)
K00030,1.1.1.41,R00709;R00709  isocitrate:NAD+ oxidoreductase (decarboxylating)
K00031,1.1.1.42,R00267;R00267  isocitrate:NADP+ oxidoreductase (decarboxylating);R00268;R00268  oxalosuccinate carboxy-lyase (2-oxoglutarate-forming);R01899;R01899  isocitrate:NADP+ oxidoreductase
K00033,1.1.1.343;1.1.1.44,R01528;R01528  6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating);R10221;R10221  6-phospho-D-gluconate:NAD+ 2-oxidoreductase (decarboxylating)
K00035,1.1.1.48,R01094;R01094  D-galactose:NAD+ 1-oxidoreductase;R01097;R01097  D-galactose:NADP+ 1-oxidoreductase
K00036,1.1.1.363;1.1.1.49,R00835;R00835  D-glucose-6-phosphate:NADP+ 1-oxidoreductase;R02736;R02736  beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase;R10907;R10907  beta-D-glucose-6-phosphate:NAD+ 1-oxidoreductase
K00039,1.1.1.56,R01895;R01895  ribitol:NAD+ 2-oxidoreductase
K00040,1.1.1.57,R02454;R02454  D-mannonate:NAD+ 5-oxidoreductase
K00041,1.1.1.58,R02555;R02555  D-altronate:NAD+ 3-oxidoreductase
K00042,1.1.1.60,R01745;R01745  (R)-glycerate:NAD+ oxidoreductase;R01747;R01747  (R)-glycerate:NADP+ oxidoreductase
K00048,1.1.1.77,"R01781;R01781  1,2-ethanediol:NAD+ oxidoreductase;R02257;R02257  propane-1,2-diol:NAD+ oxidoreductase"
K00052,1.1.1.85,"R00994;R00994  (2R,3S)-3-methylmalate:NAD+ oxidoreductase;R04426;R04426  (2R,3S)-3-isopropylmalate:NAD+ oxidoreductase;R10052;R10052  (2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"
