node,deg_in,deg_out,deg_total,pagerank,betweenness,closeness,eigenvector,hub,authority
K03737,110,68,178,0.00728336461540022,0.00629615496846311,1.3890972189018203,0.1181066392905419,0.008752783319691353,0.02222883181948051
K00284,70,85,155,0.007818706346937281,0.06404113975569346,1.4255128678107847,0.09511326037502044,0.00845687315104343,0.005531886758636721
K00170,94,60,154,0.007532656194106513,0.0,1.3593073884013656,0.10610394669336345,0.009249573220138122,0.020002621417990023
K00169,94,60,154,0.007532656194106513,0.0,1.3593073884013656,0.10458584625674869,0.00924957322013812,0.02000262141799003
K00174,84,69,153,0.010674631859590087,0.09434731499813558,1.6167396554483113,0.18022353547882156,0.0054569184334385505,0.036771691619782804
K00175,84,69,153,0.010674631859590087,0.09434731499813558,1.6167396554483113,0.1813393379091576,0.0054569184334385505,0.036771691619782804
K00832,81,68,149,0.005602866201024084,0.03295124513362923,1.2437389508437815,0.09648441710341901,0.0043286518981649645,0.00446604701197912
K13497,76,65,141,0.0061908550777155505,0.0726719607355003,1.2182451031777797,0.07955188067326545,0.006251884462789021,0.0042726878400557704
K00382,65,73,138,0.003837008479059672,0.007966525255699462,1.1693247458087455,0.1213053771575346,0.03031172147026984,0.004654865324631771
K00830,63,73,136,0.004154011893227151,0.014379039165688164,1.1558478832675008,0.0670763773260375,0.003743873741202327,0.004591821617210889
K01652,87,48,135,0.01073866388979784,0.08434283658824078,1.651873852837081,0.24005568238542602,0.01733439747794874,0.0479758558792299
K01653,87,48,135,0.01073866388979784,0.08434283658824078,1.651873852837081,0.21238861139218926,0.01733439747794874,0.0479758558792299
K14260,60,72,132,0.0038371111298707177,0.0006596100683775479,1.1507879799856289,0.06987330353137713,0.004074691675420657,0.004216684382321901
K01616,74,54,128,0.006444204874631264,0.005613597073285701,1.409431591257789,0.1409437384929924,0.014451510362194223,0.02165329954664066
K00265,56,71,127,0.004572387653716604,0.031233346440167363,1.4095636929166937,0.07142285955449519,0.0036302767742626275,0.004065170542545161
K00266,56,71,127,0.004572387653716604,0.031233346440167363,1.4095636929166937,0.06984524536058617,0.0036302767742626275,0.004065170542545154
K01915,96,26,122,0.0038963437727320303,6.733855581243968e-05,1.247769411518286,0.05171670900924728,0.0002563822171404037,0.005561632918967142
K13503,51,64,115,0.0030970484089111283,0.0038267047367572613,0.9414011075116409,0.07363378342711385,0.006220241611237123,0.0036748050995914906
K01657,51,64,115,0.0030970484089111283,0.0038267047367572613,0.9414011075116409,0.07363378342711385,0.006220241611237123,0.0036748050995914906
K01658,51,64,115,0.0030970484089111283,0.0038267047367572613,0.9414011075116409,0.07363378342711385,0.006220241611237123,0.0036748050995914906
K01951,50,61,111,0.0033619069056839185,0.01776771561933511,1.1345693104342005,0.0606340260102191,0.00310385487207049,0.0038041221087318083
K00176,66,43,109,0.0053610332180324995,0.0,1.320224454519667,0.0927757956515315,0.0021049717180192965,0.01778917986877364
K00260,56,53,109,0.002650005802107331,0.0,1.1832278263919476,0.03741213303192037,0.0020131794224567865,0.002032585271272577
K15371,56,53,109,0.002650005802107331,0.0,1.1832278263919476,0.03783071849711075,0.0020131794224567865,0.002032585271272577
K00261,56,53,109,0.004572387653716604,0.07052726427216525,1.4095636929166937,0.07652350372934902,0.004026358844913573,0.004065170542545154
K00262,56,53,109,0.002650005802107331,0.0,1.1832278263919476,0.03826175186467451,0.0020131794224567865,0.002032585271272577
