Reaction,role,metabolite
R00623,substrate,C00226
R00623,substrate,C00003
R00623,product,C00071
R00623,product,C00004
R00623,product,C00080
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,substrate,C00226
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00071
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00004
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00080
R00754,substrate,C00469
R00754,substrate,C00003
R00754,product,C00084
R00754,product,C00004
R00754,product,C00080
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00469
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00084
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00004
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00080
R02124,substrate,C00473
R02124,substrate,C00003
R02124,product,C00376
R02124,product,C00004
R02124,product,C00080
R02124  RETINOL:NAD+ OXIDOREDUCTASE,substrate,C00473
R02124  RETINOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00376
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00004
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00080
R04805,substrate,C05444
R04805,substrate,C00003
R04805,product,C05445
R04805,product,C00004
R04805,product,C00080
R04880,substrate,C05576
R04880,substrate,C00003
R04880,product,C05577
R04880,product,C00004
R04880,product,C00080
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",substrate,C05576
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",substrate,C00003
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C05577
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C00004
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C00080
R05233,substrate,C06611
R05233,substrate,C00003
R05233,product,C06613
R05233,product,C00004
R05233,product,C00080
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C06611
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C00003
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C06613
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00004
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00080
R05234,substrate,C06612
R05234,substrate,C00003
R05234,product,C16348
R05234,product,C00004
R05234,product,C00080
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C06612
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C00003
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C16348
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00004
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00080
R06917,substrate,C14089
R06917,substrate,C00003
R06917,product,C14090
R06917,product,C00004
R06917,product,C00080
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,substrate,C14089
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,substrate,C00003
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C14090
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C00004
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C00080
R06927,substrate,C02909
R06927,substrate,C00003
R06927,product,C14099
R06927,product,C00004
R06927,product,C00080
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,substrate,C02909
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C14099
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C00004
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C00080
R07105,substrate,C06899
R07105,substrate,C00004
R07105,substrate,C00080
R07105,product,C07490
R07105,product,C00003
R07105,product,C00001
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C06899
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00004
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00080
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C07490
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C00003
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C00001
R08281,substrate,C07645
R08281,substrate,C00004
R08281,substrate,C00080
R08281,product,C16551
R08281,product,C00003
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C07645
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C00004
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C00080
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,product,C16551
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,product,C00003
R08306,substrate,C16586
R08306,substrate,C00003
R08306,product,C16587
R08306,product,C00004
R08306,product,C00080
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",substrate,C16586
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",substrate,C00003
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C16587
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C00004
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C00080
R08310,substrate,C16595
R08310,substrate,C00003
R08310,product,C16596
R08310,product,C00004
R08310,product,C00080
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",substrate,C16595
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",substrate,C00003
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C16596
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C00004
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C00080
R01773,substrate,C00263
