KO_producer,metabolite,producer_rxn,KO_consumer,consumer_rxn
K00012,C00004,R00286,K00342,R11945
K00012,C00004,R00286,K03809,R02964
K00012,C00080,R00286,K00342,R11945
K00012,C00080,R00286,K01611,R00178
K00012,C00080,R00286,K03465,R06613
K00012,C00080,R00286,K03737,R01196
K00012,C00080,R00286,K03809,R02964
K00012,C00080,R00286,K06441,R00019
K00012,C00080,R00286,K10680,R08014
K00024,C00036,R00342,K01596,R00431
K00024,C00036,R00342,K01610,R00341
K00024,C00004,R00342,K00342,R11945
K00024,C00004,R00342,K03809,R02964
K00024,C00080,R00342,K00342,R11945
K00024,C00080,R00342,K01611,R00178
K00024,C00080,R00342,K03465,R06613
K00024,C00080,R00342,K03737,R01196
K00024,C00080,R00342,K03809,R02964
K00024,C00080,R00342,K06441,R00019
K00024,C00080,R00342,K10680,R08014
K00031,C00026,R00267,K00831,R04173
K00031,C00026,R00267,K13010,R10460
K00031,C00011,R00267,K00767,R03348
K00031,C00011,R00267,K03737,R01196
K00031,C00005,R00267,K03465,R06613
K00031,C00005,R00267,K10680,R08014
K00031,C00080,R00267,K00342,R11945
K00031,C00080,R00267,K01611,R00178
K00031,C00080,R00267,K03465,R06613
K00031,C00080,R00267,K03737,R01196
K00031,C00080,R00267,K03809,R02964
K00031,C00080,R00267,K06441,R00019
K00031,C00080,R00267,K10680,R08014
K00036,C00005,R00835,K03465,R06613
K00036,C00005,R00835,K10680,R08014
K00036,C00080,R00835,K00342,R11945
K00036,C00080,R00835,K01611,R00178
K00036,C00080,R00835,K03465,R06613
K00036,C00080,R00835,K03737,R01196
K00036,C00080,R00835,K03809,R02964
K00036,C00080,R00835,K06441,R00019
K00036,C00080,R00835,K10680,R08014
K00066,C00004,R00880,K00342,R11945
K00066,C00004,R00880,K03809,R02964
K00066,C00080,R00880,K00342,R11945
K00066,C00080,R00880,K01611,R00178
K00066,C00080,R00880,K03465,R06613
K00066,C00080,R00880,K03737,R01196
K00066,C00080,R00880,K03809,R02964
K00066,C00080,R00880,K06441,R00019
K00066,C00080,R00880,K10680,R08014
K00067,C00005,R02777,K03465,R06613
K00067,C00005,R02777,K10680,R08014
K00067,C00080,R02777,K00342,R11945
K00067,C00080,R02777,K01611,R00178
K00067,C00080,R02777,K03465,R06613
K00067,C00080,R02777,K03737,R01196
K00067,C00080,R02777,K03809,R02964
K00067,C00080,R02777,K06441,R00019
K00067,C00080,R02777,K10680,R08014
K00116,C00036,R00360,K01596,R00431
K00116,C00036,R00360,K01610,R00341
K00116,C00027,R00360,K03781,R00009
K00138,C00033,R00711,K01895,R00235
K00138,C00005,R00711,K03465,R06613
K00138,C00005,R00711,K10680,R08014
K00138,C00080,R00711,K00342,R11945
K00138,C00080,R00711,K01611,R00178
K00138,C00080,R00711,K03465,R06613
K00138,C00080,R00711,K03737,R01196
K00138,C00080,R00711,K03809,R02964
K00138,C00080,R00711,K06441,R00019
K00138,C00080,R00711,K10680,R08014
K00145,C00005,R03443,K03465,R06613
K00145,C00005,R03443,K10680,R08014
K00145,C00080,R03443,K00342,R11945
K00145,C00080,R03443,K01611,R00178
K00145,C00080,R03443,K03465,R06613
K00145,C00080,R03443,K03737,R01196
K00145,C00080,R03443,K03809,R02964
K00145,C00080,R03443,K06441,R00019
K00145,C00080,R03443,K10680,R08014
K00147,C00005,R03313,K03465,R06613
K00147,C00005,R03313,K10680,R08014
K00147,C00080,R03313,K00342,R11945
K00147,C00080,R03313,K01611,R00178
K00147,C00080,R03313,K03465,R06613
K00147,C00080,R03313,K03737,R01196
K00147,C00080,R03313,K03809,R02964
K00147,C00080,R03313,K06441,R00019
K00147,C00080,R03313,K10680,R08014
K00200,C00138,R03015,K03737,R01196
K00200,C00138,R03015,K06441,R00019
K00200,C00011,R03015,K00767,R03348
K00200,C00011,R03015,K03737,R01196
K00200,C00080,R03015,K00342,R11945
K00200,C00080,R03015,K01611,R00178
K00200,C00080,R03015,K03465,R06613
K00200,C00080,R03015,K03737,R01196
K00200,C00080,R03015,K03809,R02964
K00200,C00080,R03015,K06441,R00019
K00200,C00080,R03015,K10680,R08014
K00265,C00064,R00114,K01950,R00257
K00265,C00064,R00114,K01952,R04463
K00265,C00064,R00114,K01953,R00578
K00265,C00064,R00114,K01955,R00256
K00265,C00026,R00114,K00831,R04173
K00265,C00026,R00114,K13010,R10460
K00265,C00005,R00114,K03465,R06613
K00265,C00005,R00114,K10680,R08014
K00265,C00080,R00114,K00342,R11945
K00265,C00080,R00114,K01611,R00178
K00265,C00080,R00114,K03465,R06613
K00265,C00080,R00114,K03737,R01196
K00265,C00080,R00114,K03809,R02964
K00265,C00080,R00114,K06441,R00019
K00265,C00080,R00114,K10680,R08014
K00266,C00064,R00114,K01950,R00257
K00266,C00064,R00114,K01952,R04463
K00266,C00064,R00114,K01953,R00578
K00266,C00064,R00114,K01955,R00256
K00266,C00026,R00114,K00831,R04173
K00266,C00026,R00114,K13010,R10460
K00266,C00005,R00114,K03465,R06613
K00266,C00005,R00114,K10680,R08014
K00266,C00080,R00114,K00342,R11945
K00266,C00080,R00114,K01611,R00178
K00266,C00080,R00114,K03465,R06613
K00266,C00080,R00114,K03737,R01196
K00266,C00080,R00114,K03809,R02964
K00266,C00080,R00114,K06441,R00019
K00266,C00080,R00114,K10680,R08014
K00284,C00064,R00021,K01950,R00257
K00284,C00064,R00021,K01952,R04463
K00284,C00064,R00021,K01953,R00578
K00284,C00064,R00021,K01955,R00256
K00284,C00026,R00021,K00831,R04173
K00284,C00026,R00021,K13010,R10460
K00284,C00138,R00021,K03737,R01196
K00284,C00138,R00021,K06441,R00019
K00284,C00080,R00021,K00342,R11945
K00284,C00080,R00021,K01611,R00178
K00284,C00080,R00021,K03465,R06613
K00284,C00080,R00021,K03737,R01196
K00284,C00080,R00021,K03809,R02964
K00284,C00080,R00021,K06441,R00019
K00284,C00080,R00021,K10680,R08014
K00342,C00003,R11945,K00012,R00286
K00342,C00003,R11945,K00024,R00342
K00342,C00003,R11945,K00066,R00880
K00342,C00003,R11945,K02823,R01869
K00342,C00003,R11945,K03426,R00103
K00342,C00080,R11945,K01611,R00178
K00342,C00080,R11945,K03465,R06613
K00342,C00080,R11945,K03737,R01196
K00342,C00080,R11945,K03809,R02964
K00342,C00080,R11945,K06441,R00019
K00342,C00080,R11945,K10680,R08014
K00381,C00005,R00858,K03465,R06613
K00381,C00005,R00858,K10680,R08014
K00381,C00080,R00858,K00342,R11945
K00381,C00080,R00858,K01611,R00178
K00381,C00080,R00858,K03465,R06613
K00381,C00080,R00858,K03737,R01196
K00381,C00080,R00858,K03809,R02964
K00381,C00080,R00858,K06441,R00019
K00381,C00080,R00858,K10680,R08014
K00600,C00065,R00945,K02363,R07644
K00609,C00009,R01397,K00145,R03443
K00609,C00009,R01397,K00147,R03313
K00609,C00009,R01397,K00688,R02111
K00609,C00009,R01397,K00705,R02111
K00609,C00009,R01397,K00789,R00177
K00673,C00010,R00832,K01895,R00235
K00673,C00010,R00832,K01897,R00390
K00688,C00718,R02111,K00700,R02110
K00688,C00103,R02111,K16148,R11530
K00700,C00369,R02110,K00688,R02111
K00700,C00369,R02110,K00705,R02111
K00705,C00718,R02111,K00700,R02110
K00705,C00103,R02111,K16148,R11530
K00721,C03862,R01009,K00728,R04072
K00728,C00110,R04072,K00721,R01009
K00789,C00002,R00177,K00847,R00760
K00789,C00002,R00177,K00873,R00200
K00789,C00002,R00177,K00882,R02071
K00789,C00002,R00177,K00891,R02412
K00789,C00002,R00177,K00899,R04143
K00789,C00002,R00177,K00912,R04657
K00789,C00002,R00177,K00927,R01512
K00789,C00002,R00177,K00948,R01049
K00789,C00002,R00177,K01007,R00199
K00789,C00002,R00177,K01460,R01917
K00789,C00002,R00177,K01610,R00341
K00789,C00002,R00177,K01867,R03664
K00789,C00002,R00177,K01869,R03657
K00789,C00002,R00177,K01870,R03656
