Full,Intrested,
K25996,#N/A,K25996
K21573,K21573,0
K07012,K07012,0
K00876,#N/A,K00876
K07137,#N/A,K07137
K00626,#N/A,K00626
K27885,#N/A,K27885
K25619,#N/A,K25619
K12574,#N/A,K12574
K03310,#N/A,K03310
K22132,K22132,0
K16619,#N/A,K16619
K02982,#N/A,K02982
K07027,#N/A,K07027
K12952,#N/A,K12952
K03657,K03657,0
K03427,K03427,0
K15582,#N/A,K15582
K07014,#N/A,K07014
K00525,#N/A,K00525
K02335,K02335,0
K02851,#N/A,K02851
K01007,K01007,0
K15665,#N/A,K15665
K01770,#N/A,K01770
K21076,#N/A,K21076
K03561,#N/A,K03561
K00812,#N/A,K00812
K02072,#N/A,K02072
K15654,#N/A,K15654
K03336,#N/A,K03336
K03177,#N/A,K03177
K00147,K00147,0
K02420,#N/A,K02420
K05989,#N/A,K05989
K05989,#N/A,K05989
K01744,#N/A,K01744
K12678,#N/A,K12678
K18691,#N/A,K18691
K03168,#N/A,K03168
K12524,#N/A,K12524
K03199,#N/A,K03199
K03856,#N/A,K03856
K01990,#N/A,K01990
K03118,K03118,0
K07002,#N/A,K07002
K06016,#N/A,K06016
K01711,#N/A,K01711
K07348,#N/A,K07348
K13525,#N/A,K13525
K03658,#N/A,K03658
K03723,K03723,0
K02529,K02529,0
K10726,#N/A,K10726
K02669,#N/A,K02669
K10026,#N/A,K10026
K03771,K03771,0
K15842,#N/A,K15842
K01903,#N/A,K01903
K01811,#N/A,K01811
K05366,K05366,0
K18691,#N/A,K18691
K09607,#N/A,K09607
K02665,#N/A,K02665
K18946,#N/A,K18946
K12661,#N/A,K12661
K01810,K01810,0
K13735,K13735,0
K00929,#N/A,K00929
K06994,#N/A,K06994
K01893,K01893,0
K01870,K01870,0
K02313,#N/A,K02313
K00850,#N/A,K00850
K22350,#N/A,K22350
K06969,K06969,0
K05349,K05349,0
K03930,#N/A,K03930
K00245,#N/A,K00245
K00244,#N/A,K00244
K00018,#N/A,K00018
K02337,K02337,0
K13444,K13444,0
K03407,#N/A,K03407
K03412,#N/A,K03412
K07478,#N/A,K07478
K03694,#N/A,K03694
K07486,K07486,0
K00574,#N/A,K00574
K07498,#N/A,K07498
K05592,K05592,0
K01886,#N/A,K01886
K14645,#N/A,K14645
K21573,K21573,0
K11717,#N/A,K11717
K04064,#N/A,K04064
K03546,K03546,0
K07085,#N/A,K07085
K08997,#N/A,K08997
K00853,#N/A,K00853
K03572,K03572,0
K02010,#N/A,K02010
K00336,#N/A,K00336
K01857,#N/A,K01857
K18929,#N/A,K18929
K13929,#N/A,K13929
K07126,K07126,0
K01939,#N/A,K01939
K03658,#N/A,K03658
K13581,#N/A,K13581
K01918,#N/A,K01918
K00928,#N/A,K00928
K01493,#N/A,K01493
K02564,K02564,0
K03734,K03734,0
K00603,#N/A,K00603
K03582,#N/A,K03582
K03324,#N/A,K03324
K03388,#N/A,K03388
K00615,K00615,0
K09472,#N/A,K09472
K03495,#N/A,K03495
K00479,#N/A,K00479
K00351,#N/A,K00351
K01928,#N/A,K01928
K02337,K02337,0
K01649,#N/A,K01649
K03500,#N/A,K03500
K03631,K03631,0
K07486,K07486,0
K02519,K02519,0
K03621,#N/A,K03621
K02688,#N/A,K02688
K03555,K03555,0
K08971,#N/A,K08971
K01179,K01179,0
K02408,#N/A,K02408
K02034,#N/A,K02034
K03427,K03427,0
