src,dst,weight
K00001,K00003,2
K00001,K00004,6
K00001,K00005,6
K00001,K00007,4
K00001,K00008,4
K00001,K00009,4
K00001,K00010,4
K00001,K00012,3
K00001,K00013,8
K00001,K00016,6
K00001,K00018,4
K00001,K00024,4
K00001,K00027,2
K00001,K00030,2
K00001,K00033,2
K00001,K00035,2
K00001,K00036,2
K00001,K00039,2
K00001,K00040,2
K00001,K00041,2
K00001,K00042,2
K00001,K00048,4
K00001,K00052,26
K00001,K00053,11
K00001,K00054,2
K00001,K00057,2
K00001,K00058,2
K00001,K00059,33
K00001,K00060,2
K00001,K00064,4
K00001,K00065,2
K00001,K00066,3
K00001,K00074,2
K00001,K00075,2
K00001,K00088,6
K00001,K00090,2
K00001,K00094,2
K00001,K00096,2
K00001,K00097,4
K00001,K00121,66
K00001,K00123,2
K00001,K00124,2
K00001,K00126,2
K00001,K00127,2
K00001,K00128,60
K00001,K00130,4
K00001,K00134,2
K00001,K00135,7
K00001,K00138,2
K00001,K00140,6
K00001,K00141,12
K00001,K00151,3
K00001,K00153,5
K00001,K00156,1
K00001,K00162,2
K00001,K00163,2
K00001,K00164,2
K00001,K00166,6
K00001,K00167,6
K00001,K00169,11
K00001,K00170,11
K00001,K00174,22
K00001,K00175,22
K00001,K00176,11
K00001,K00177,11
K00001,K00185,1
K00001,K00200,2
K00001,K00201,2
K00001,K00206,3
K00001,K00208,60
K00001,K00209,18
K00001,K00215,4
K00001,K00259,3
K00001,K00260,3
K00001,K00261,4
K00001,K00262,1
K00001,K00263,9
K00001,K00265,1
K00001,K00266,1
K00001,K00274,18
K00001,K00275,2
K00001,K00276,18
K00001,K00278,1
K00001,K00281,2
K00001,K00282,2
K00001,K00283,2
K00001,K00284,1
K00001,K00285,2
K00001,K00286,4
K00001,K00287,6
K00001,K00294,34
K00001,K00297,2
K00001,K00302,1
K00001,K00303,1
K00001,K00322,2
K00001,K00324,13
K00001,K00325,13
K00001,K00330,22
K00001,K00331,22
K00001,K00332,22
K00001,K00333,22
K00001,K00334,22
K00001,K00335,22
K00001,K00336,22
K00001,K00337,22
K00001,K00338,22
K00001,K00339,22
K00001,K00340,22
K00001,K00341,22
K00001,K00342,22
K00001,K00343,22
K00001,K00355,66
K00001,K00361,4
K00001,K00362,3
K00001,K00368,2
K00001,K00370,2
K00001,K00371,2
K00001,K00372,2
K00001,K00374,2
K00001,K00376,1
K00001,K00380,1
K00001,K00381,1
K00001,K00382,20
K00001,K00383,2
K00001,K00384,12
K00001,K00392,2
K00001,K00425,11
K00001,K00426,11
K00001,K00479,22
K00001,K00481,11
K00001,K00483,44
K00001,K00496,44
K00001,K00507,22
K00001,K00525,4
K00001,K00526,4
K00001,K00528,11
K00001,K00529,68
K00001,K00600,1
K00001,K00602,1
K00001,K00603,11
K00001,K00605,2
K00001,K00606,1
K00001,K00627,2
K00001,K00658,4
K00001,K00674,1
K00001,K00681,2
K00001,K00789,1
K00001,K00799,11
K00001,K00801,22
K00001,K00858,2
K00001,K01007,1
K00001,K01008,1
K00001,K01012,11
K00001,K01046,2
K00001,K01053,3
K00001,K01057,1
K00001,K01058,11
K00001,K01060,1
K00001,K01061,10
K00001,K01069,1
K00001,K01070,1
K00001,K01077,2
K00001,K01079,1
K00001,K01081,14
K00001,K01082,2
K00001,K01085,1
K00001,K01089,1
K00001,K01091,1
K00001,K01092,3
K00001,K01093,2
K00001,K01095,1
K00001,K01096,1
K00001,K01113,1
K00001,K01114,5
K00001,K01119,8
K00001,K01126,2
K00001,K01129,1
K00001,K01130,1
K00001,K01139,1
K00001,K01176,2
K00001,K01178,3
K00001,K01179,2
K00001,K01182,4
K00001,K01183,2
K00001,K01184,2
K00001,K01187,5
K00001,K01190,5
K00001,K01193,6
K00001,K01194,1
K00001,K01195,6
K00001,K01197,3
K00001,K01201,2
K00001,K01205,1
K00001,K01207,2
K00001,K01208,2
K00001,K01209,1
K00001,K01220,1
K00001,K01222,3
K00001,K01223,3
K00001,K01226,2
K00001,K01232,3
K00001,K01236,1
K00001,K01241,1
K00001,K01243,2
K00001,K01251,1
K00001,K01255,2
K00001,K01256,2
K00001,K01259,1
K00001,K01270,2
K00001,K01424,1
K00001,K01425,2
K00001,K01426,5
K00001,K01428,2
K00001,K01430,2
K00001,K01431,3
K00001,K01433,1
K00001,K01434,1
K00001,K01438,2
K00001,K01439,1
K00001,K01442,6
K00001,K01443,1
K00001,K01447,1
K00001,K01448,1
K00001,K01449,1
K00001,K01451,1
K00001,K01455,1
K00001,K01458,1
K00001,K01460,1
K00001,K01464,3
K00001,K01465,1
K00001,K01467,1
K00001,K01468,1
K00001,K01469,1
K00001,K01470,1
K00001,K01473,1
K00001,K01474,1
K00001,K01477,1
K00001,K01478,1
K00001,K01480,1
K00001,K01484,1
K00001,K01485,3
K00001,K01486,1
K00001,K01487,1
K00001,K01488,2
K00001,K01489,3
K00001,K01491,1
K00001,K01493,1
K00001,K01494,1
K00001,K01495,4
K00001,K01497,1
K00001,K01500,1
K00001,K01512,3
K00001,K01515,2
K00001,K01519,4
K00001,K01520,2
K00001,K01524,1
K00001,K01525,1
K00001,K01560,1
K00001,K01601,1
K00001,K01611,11
K00001,K01616,2
K00001,K01626,1
K00001,K01666,1
K00001,K01667,1
K00001,K01673,11
K00001,K01674,11
K00001,K01692,6
K00001,K01703,1
K00001,K01704,1
K00001,K01725,22
K00001,K01733,2
K00001,K01737,1
K00001,K01738,11
K00001,K01739,12
K00001,K01740,22
K00001,K01749,1
K00001,K01758,6
K00001,K01760,5
K00001,K01761,2
K00001,K01771,1
K00001,K01782,25
K00001,K01825,25
K00001,K01934,11
K00001,K01937,1
K00001,K01950,1
K00001,K01951,2
K00001,K01952,1
K00001,K01953,1
K00001,K01955,2
K00001,K01956,2
K00001,K01972,2
K00001,K01975,1
K00001,K02082,1
K00001,K02083,1
K00001,K02170,1
K00001,K02224,2
K00001,K02230,1
K00001,K02232,1
K00001,K02257,1
K00001,K02297,22
K00001,K02298,22
K00001,K02302,13
K00001,K02371,38
K00001,K02437,2
K00001,K02446,2
K00001,K02472,3
K00001,K02474,6
K00001,K02492,11
K00001,K02535,1
K00001,K02549,1
K00001,K02564,1
K00001,K02567,2
K00001,K02586,24
K00001,K02588,24
K00001,K02591,24
K00001,K02609,11
K00001,K02610,11
K00001,K02612,11
K00001,K02823,2
K00001,K03078,11
K00001,K03269,1
K00001,K03270,1
K00001,K03273,2
K00001,K03332,1
K00001,K03334,6
K00001,K03336,1
K00001,K03340,1
K00001,K03385,1
K00001,K03388,33
K00001,K03389,33
K00001,K03390,33
K00001,K03403,1
K00001,K03404,1
K00001,K03405,1
K00001,K03426,16
K00001,K03465,11
K00001,K03472,3
K00001,K03473,2
K00001,K03476,1
K00001,K03517,1
K00001,K03518,1
K00001,K03520,1
K00001,K03526,1
K00001,K03527,12
K00001,K03594,11
K00001,K03637,1
K00001,K03644,33
K00001,K03651,1
K00001,K03707,2
K00001,K03737,11
K00001,K03738,1
K00001,K03742,1
K00001,K03743,1
K00001,K03777,2
K00001,K03778,2
K00001,K03787,18
K00001,K03788,1
K00001,K03809,66
K00001,K03856,1
K00001,K04016,1
K00001,K04021,3
K00001,K04034,1
K00001,K04041,2
K00001,K04072,19
K00001,K04486,1
K00001,K04517,2
K00001,K04561,11
K00001,K04748,11
K00001,K04765,11
K00001,K05343,2
K00001,K05349,13
K00001,K05350,13
K00001,K05375,1
K00001,K05526,1
K00001,K05549,220
K00001,K05579,22
K00001,K05580,22
K00001,K05588,22
K00001,K05601,3
K00001,K05602,1
K00001,K05603,1
K00001,K05710,44
K00001,K05711,4
K00001,K05810,1
K00001,K05823,1
K00001,K05884,2
K00001,K05895,22
K00001,K05973,1
K00001,K05989,2
K00001,K06013,1
K00001,K06015,1
K00001,K06016,2
K00001,K06045,1
K00001,K06153,1
K00001,K06162,1
K00001,K06167,1
K00001,K06287,3
K00001,K06441,11
K00001,K06447,3
K00001,K06881,2
K00001,K06949,2
K00001,K06966,4
K00001,K07043,1
K00001,K07053,2
K00001,K07130,3
K00001,K07160,1
K00001,K07246,6
K00001,K07248,9
K00001,K07306,1
K00001,K07307,1
K00001,K07308,1
K00001,K07309,1
K00001,K07310,1
K00001,K07404,1
K00001,K07405,2
K00001,K07406,14
K00001,K07407,14
K00001,K07516,16
K00001,K07518,1
K00001,K07566,11
K00001,K07751,2
K00001,K07757,1
K00001,K07811,1
K00001,K07812,1
K00001,K08281,1
K00001,K08310,1
K00001,K08311,1
K00001,K08312,1
K00001,K08320,2
K00001,K08325,11
K00001,K08351,11
K00001,K08682,1
K00001,K08722,7
K00001,K08966,1
K00001,K08968,1
K00001,K09001,2
K00001,K09022,2
K00001,K09023,1
K00001,K09471,1
K00001,K09472,4
K00001,K09474,1
K00001,K09699,6
K00001,K09828,77
K00001,K09882,1
K00001,K09883,1
