bin_start,bin_end,count
0.0,0.05,24996
0.05,0.1,203412
0.1,0.15,343624
0.15,0.2,237033
0.2,0.25,110368
0.25,0.3,98322
0.3,0.35,105890
0.35,0.4,77037
0.4,0.45,75908
0.45,0.5,107097
0.5,0.55,67179
0.55,0.6,120731
0.6,0.65,118489
0.65,0.7,50950
0.7,0.75,24337
0.75,0.8,27755
0.8,0.85,16460
0.85,0.9,12708
0.9,0.95,19002
0.95,1.0,8314
1.0,1.05,24968
1.05,1.1,67022
1.1,1.15,73910
1.15,1.2,47770
1.2,1.25,20886
1.25,1.3,17546
1.3,1.35,12347
1.35,1.4,11321
1.4,1.45,14011
1.45,1.5,16158
1.5,1.55,12591
1.55,1.6,14561
1.6,1.65,15814
1.65,1.7,8453
1.7,1.75,3302
1.75,1.8,2544
1.8,1.85,1246
1.85,1.9,1246
1.9,1.95,2160
1.95,2.0,942
2.0,2.05,2478
2.05,2.1,4056
2.1,2.15,4090
2.15,2.2,2420
2.2,2.25,914
2.25,2.3,540
2.3,2.35,168
2.35,2.4,348
2.4,2.45,596
2.45,2.5,590
2.5,2.55,324
2.55,2.6,820
2.6,2.65,1156
2.65,2.7,1090
2.7,2.75,262
2.75,2.8,190
2.8,2.85,112
2.85,2.9,56
2.9,2.95,134
2.95,3.0,156
3.0,3.05,90
3.05,3.1,150
3.1,3.15,58
3.15,3.2,34
3.2,3.25,12
3.25,3.3,6
3.3,3.35,2
3.45,3.5,2
3.5,3.55,20
3.55,3.6,80
3.6,3.65,46
3.65,3.7,64
3.7,3.75,6
3.75,3.8,6
3.85,3.9,2
3.9,3.95,6
3.95,4.0,8
4.0,4.05,4
4.05,4.1,4
4.2,4.25,2
