KO,EC,RXN
K25996,,R02164
K21573,,
K07012,5.6.2.4,
K00876,2.7.1.48,R00513;R00517;R00964;R00968;R08232
K07137,,
K00626,2.3.1.9,R00238;R01177
K27885,,
K25619,,R12811
K12574,,
K03310,,
K22132,,
K16619,3.1.4.3,R01312;R02027;R02052;R03332;R07381
K02982,,
K07027,,
K12952,,
K03657,5.6.2.4,
K03427,2.1.1.72,
K15582,,
K07014,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K02335,2.7.7.7,
K02851,2.7.8.33;2.7.8.35,R08856;R10137;R12075;R12859
K01007,2.7.9.2,R00199
K15665,,
K01770,4.6.1.12,R05637
K21076,,
K03561,,
K00812,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K02072,,
K15654,,
K03336,3.7.1.22,R08603
K03177,5.4.99.25,
K00147,1.2.1.41,R03313
K02420,,
K05989,3.2.1.40,R13063;R13064
K05989,3.2.1.40,R13063;R13064
K01744,4.3.1.1,R00490
K12678,,
K18691,4.2.2.29,
K03168,5.6.2.1,
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K03199,7.4.2.8,
K03856,2.5.1.54,R01826
K01990,,
K03118,,
K07002,,
K06016,3.5.1.6;3.5.1.87,R00905;R04666
K01711,4.2.1.47,R00888
K07348,,
K13525,,
K03658,5.6.2.4,
K03723,5.6.2.4,
K02529,,
K10726,5.6.2.3,
K02669,,
K10026,4.3.99.3,R10002
K03771,5.2.1.8,
K15842,,
K01903,6.2.1.5,R00405;R02404
K01811,3.2.1.177,
K05366,2.4.99.28;3.4.16.4,
K18691,4.2.2.29,
K09607,,
K02665,,
K18946,,
K12661,4.2.1.90,R03774
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K13735,,
K00929,2.7.2.7,R01688
K06994,,
K01893,6.1.1.22,R03648
K01870,6.1.1.5,R03656
K02313,,
K00850,2.7.1.11,R00756;R03236;R03237;R03238;R03239;R04779
K22350,1.16.3.3,
K06969,2.1.1.191,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K03930,,
K00245,1.3.5.1,R02164
