KO,EC,Reaction,role,metabolite
K25996,,R02164,substrate,C15602
K25996,,R02164,substrate,C00042
K25996,,R02164,product,C15603
K25996,,R02164,product,C00122
K00876,2.7.1.48,R00513,substrate,C00002
K00876,2.7.1.48,R00513,substrate,C00475
K00876,2.7.1.48,R00513,product,C00008
K00876,2.7.1.48,R00513,product,C00055
K00876,2.7.1.48,R00517,substrate,C00044
K00876,2.7.1.48,R00517,substrate,C00475
K00876,2.7.1.48,R00517,product,C00035
K00876,2.7.1.48,R00517,product,C00055
K00876,2.7.1.48,R00964,substrate,C00002
K00876,2.7.1.48,R00964,substrate,C00299
K00876,2.7.1.48,R00964,product,C00008
K00876,2.7.1.48,R00964,product,C00105
K00876,2.7.1.48,R00968,substrate,C00044
K00876,2.7.1.48,R00968,substrate,C00299
K00876,2.7.1.48,R00968,product,C00035
K00876,2.7.1.48,R00968,product,C00105
K00876,2.7.1.48,R08232,substrate,C16633
K00876,2.7.1.48,R08232,substrate,C00002
K00876,2.7.1.48,R08232,product,C16634
K00876,2.7.1.48,R08232,product,C00008
K00626,2.3.1.9,R00238,substrate,C00024
K00626,2.3.1.9,R00238,product,C00010
K00626,2.3.1.9,R00238,product,C00332
K00626,2.3.1.9,R01177,substrate,C00024
K00626,2.3.1.9,R01177,substrate,C00136
K00626,2.3.1.9,R01177,product,C00010
K00626,2.3.1.9,R01177,product,C05269
K25619,,R12811,substrate,n G13163
K25619,,R12811,substrate,G13184
K25619,,R12811,product,n C17556
K25619,,R12811,product,G13185
K16619,3.1.4.3,R01312,substrate,C00157
K16619,3.1.4.3,R01312,substrate,C00001
K16619,3.1.4.3,R01312,product,C00641
K16619,3.1.4.3,R01312,product,C00588
K16619,3.1.4.3,R02027,substrate,C00344
K16619,3.1.4.3,R02027,substrate,C00001
K16619,3.1.4.3,R02027,product,C00641
K16619,3.1.4.3,R02027,product,C00093
K16619,3.1.4.3,R02052,substrate,C00350
K16619,3.1.4.3,R02052,substrate,C00001
K16619,3.1.4.3,R02052,product,C00641
K16619,3.1.4.3,R02052,product,C00346
K16619,3.1.4.3,R03332,substrate,C01194
K16619,3.1.4.3,R03332,substrate,C00001
K16619,3.1.4.3,R03332,product,C01177
K16619,3.1.4.3,R03332,product,C00641
K16619,3.1.4.3,R07381,substrate,C04756
K16619,3.1.4.3,R07381,substrate,C00001
K16619,3.1.4.3,R07381,product,C03454
K16619,3.1.4.3,R07381,product,C00346
K00525,1.17.4.1,R02017,substrate,C00206
K00525,1.17.4.1,R02017,substrate,C00343
K00525,1.17.4.1,R02017,substrate,C00001
K00525,1.17.4.1,R02017,product,C00342
K00525,1.17.4.1,R02017,product,C00008
K00525,1.17.4.1,R02018,substrate,C01346
K00525,1.17.4.1,R02018,substrate,C00343
K00525,1.17.4.1,R02018,substrate,C00001
K00525,1.17.4.1,R02018,product,C00342
K00525,1.17.4.1,R02018,product,C00015
K00525,1.17.4.1,R02019,substrate,C00361
K00525,1.17.4.1,R02019,substrate,C00343
K00525,1.17.4.1,R02019,substrate,C00001
K00525,1.17.4.1,R02019,product,C00035
K00525,1.17.4.1,R02019,product,C00342
K00525,1.17.4.1,R02024,substrate,C00705
K00525,1.17.4.1,R02024,substrate,C00343
K00525,1.17.4.1,R02024,substrate,C00001
K00525,1.17.4.1,R02024,product,C00342
