node,community,deg_in,deg_out,deg_total,pagerank,betweenness,closeness,eigenvector,hub,authority
K18383,1,0,21,21,0.0007114650505380231,0.0,0.0,0.03668583602336441,0.0041265432411446085,2.0984546086169144e-20
K00658,1,24,22,46,0.0016113448874258635,0.0,0.8601579526205277,0.04231529761850944,0.007841192305965904,0.001477989421435753
K03737,1,113,66,179,0.0076107803232180775,0.0009045812664137729,1.3889056450837514,0.1311851092211809,0.008680258798404972,0.022352356670924705
K00163,1,45,40,85,0.0058200003237974356,0.07934614926696856,1.595387670757668,0.1511108409725863,0.015618047059450564,0.016716831774689845
K01638,1,0,23,23,0.0007114650505380231,0.0,0.0,0.01938623289043179,0.0021301547320576267,-8.165560001886406e-20
K00166,1,19,27,46,0.0029723208715024076,0.026889142994858475,1.3374274874230427,0.1765473004146341,0.044417834213273194,0.011572594651760078
K24018,1,8,25,33,0.005531680716079317,0.002536418935601894,1.2555905003177152,0.042862443961278404,0.007157655506671979,0.00022582156595613438
K01649,1,0,25,25,0.0007114650505380231,0.0,0.0,0.025516082831630444,0.0024796217404763838,2.2729211570503912e-18
K01003,1,8,43,51,0.0012696085346098802,0.0,0.5857201875762856,0.03963656430763326,0.0063608765141143185,0.0001737304732985814
K02551,1,20,19,39,0.0014568976530966173,0.0,0.8160108268904814,0.022628448313145342,0.0035286575664432852,0.0007841147407052034
K01659,1,0,30,30,0.0007114650505380231,0.0,0.0,0.024229498465861612,0.0023490207652863675,-2.422030516934519e-19
K03527,1,22,22,44,0.003836547063899602,0.0,1.0479780643369352,0.01627684904208477,0.0028086777509144325,0.00123364136434146
K00281,1,8,45,53,0.0017813993062591252,1.4964123513875483e-05,0.9547136465541173,0.04557490085434017,0.007839590893892119,0.0004499617246125867
K00627,1,60,34,94,0.0030640588310903508,0.0,1.2286025355100294,0.05467883405709277,0.005561566281599172,0.005695617417527295
K00140,1,3,37,40,0.000839985077568346,0.0009315166887387488,0.9005429272124004,0.11289935742569587,0.018686191164828992,0.00011597377476730386
K00167,1,19,27,46,0.0029723208715024076,0.026889142994858475,1.3374274874230427,0.21032811388843015,0.044417834213273194,0.01157259465176008
