src,dst,weight
K01428,K00052,1
K01428,K00169,1
K01428,K00170,1
K01428,K00174,2
K01428,K00175,2
K01428,K00176,1
K01428,K00177,1
K01428,K00361,4
K01428,K00362,2
K01428,K00767,1
K01428,K00926,3
K01428,K01426,2
K01428,K01601,1
K01428,K01616,1
K01428,K01652,2
K01428,K01653,2
K01428,K01657,2
K01428,K01658,2
K01428,K01725,2
K01428,K01914,2
K01428,K01915,2
K01428,K01916,2
K01428,K01935,2
K01428,K01937,2
K01428,K01951,2
K01428,K01955,4
K01428,K01956,4
K01428,K01958,1
K01428,K01960,1
K01428,K03182,1
K01428,K03186,1
K01428,K03385,2
K01428,K03388,1
K01428,K03389,1
K01428,K03390,1
K01428,K03737,1
K01428,K04016,2
K01428,K05601,2
K01428,K06920,2
K01428,K11263,4
K01428,K13497,2
K01428,K13503,2
K01428,K20934,2
K01428,K23393,2
K01428,K26110,2
K01428,K26138,4
K01428,K26139,4
K03737,K00052,1
K03737,K00156,1
K03737,K00158,1
K03737,K00162,3
K03737,K00163,3
K03737,K00169,3
K03737,K00170,3
K03737,K00174,3
K03737,K00175,3
K03737,K00176,1
K03737,K00177,1
K03737,K00200,1
K03737,K00201,1
K03737,K00284,2
K03737,K00382,1
K03737,K00392,2
K03737,K00620,1
K03737,K00627,2
K03737,K00632,12
K03737,K00645,1
K03737,K00648,1
K03737,K00656,1
K03737,K00767,1
K03737,K00830,1
K03737,K00835,1
K03737,K00873,5
K03737,K01006,1
K03737,K01007,1
K03737,K01026,1
K03737,K01034,1
K03737,K01601,1
K03737,K01616,1
K03737,K01630,1
K03737,K01652,4
K03737,K01653,4
K03737,K01662,1
K03737,K01666,1
K03737,K01714,1
K03737,K01935,2
K03737,K01958,1
K03737,K01960,1
K03737,K02510,1
K03737,K03181,1
K03737,K03182,1
K03737,K03186,1
K03737,K03388,2
K03737,K03389,2
K03737,K03390,2
K03737,K03430,1
K03737,K03527,1
K03737,K03738,1
K03737,K04038,1
K03737,K04042,1
K03737,K11263,1
K03737,K11533,3
K03737,K12256,1
K03737,K13290,1
K03737,K14260,1
K03737,K14682,1
K03737,K18288,1
K03737,K18365,2
K03737,K19709,1
K03737,K21231,1
K03737,K21834,2
K03737,K22477,1
K03737,K22478,1
K00163,K00052,3
K00163,K00162,2
K00163,K00164,1
K00163,K00166,4
K00163,K00167,4
K00163,K00169,4
K00163,K00170,4
K00163,K00174,7
K00163,K00175,7
K00163,K00176,3
K00163,K00177,3
K00163,K00620,1
K00163,K00627,1
K00163,K00632,12
K00163,K00645,1
K00163,K00648,1
K00163,K00656,1
K00163,K00767,3
K00163,K00939,1
K00163,K01026,1
K00163,K01034,1
K00163,K01601,3
K00163,K01616,4
K00163,K01652,10
K00163,K01653,10
K00163,K01935,6
K00163,K03182,3
K00163,K03186,3
K00163,K03388,3
K00163,K03389,3
K00163,K03390,3
K00163,K03737,4
K00163,K04042,1
K00163,K11263,1
K00163,K11533,3
K00163,K14682,1
K00163,K18288,1
K00163,K19709,1
K00163,K22477,1
K00163,K22478,1
K03782,K00052,1
K03782,K00169,1
K03782,K00170,1
K03782,K00174,2
K03782,K00175,2
K03782,K00176,1
K03782,K00177,1
K03782,K00767,1
K03782,K01426,1
K03782,K01601,1
K03782,K01616,1
K03782,K01652,2
K03782,K01653,2
K03782,K01935,2
K03782,K03182,1
K03782,K03186,1
K03782,K03388,1
K03782,K03389,1
K03782,K03390,1
K03782,K03737,1
K03782,K03781,2
K00166,K00052,10
K00166,K00162,4
K00166,K00163,4
K00166,K00164,4
K00166,K00167,20
K00166,K00169,10
K00166,K00170,10
K00166,K00174,20
K00166,K00175,20
K00166,K00176,10
K00166,K00177,10
K00166,K00248,2
K00166,K00249,3
K00166,K00767,10
K00166,K00939,4
K00166,K01601,10
K00166,K01616,14
K00166,K01652,32
K00166,K01653,32
K00166,K01935,20
K00166,K03182,10
K00166,K03186,10
K00166,K03388,10
K00166,K03389,10
K00166,K03390,10
K00166,K03737,10
K00166,K09699,3
K24018,K00052,2
K24018,K00169,2
K24018,K00170,2
K24018,K00174,4
K24018,K00175,4
K24018,K00176,2
K24018,K00177,2
K24018,K00767,2
K24018,K00812,1
K24018,K00813,1
K24018,K00817,1
K24018,K00832,1
K24018,K01601,2
K24018,K01616,2
K24018,K01652,4
K24018,K01653,4
K24018,K01935,4
K24018,K03150,1
K24018,K03182,2
K24018,K03186,2
K24018,K03334,1
K24018,K03388,2
K24018,K03389,2
K24018,K03390,2
K24018,K03737,2
K26139,K00370,4
K26139,K00371,4
K26139,K00372,4
K26139,K00374,4
K26139,K02567,4
K00760,K00759,6
K00760,K00761,3
K00760,K00762,3
K00760,K00763,3
K00760,K00764,3
K00760,K00765,3
K00760,K00766,3
K00760,K00767,3
K00760,K00769,6
K00760,K00789,3
K00760,K00895,6
K00760,K02502,3
K00760,K02825,3
K00760,K03462,3
K00760,K03816,6
K00760,K13497,3
K00760,K21071,6
K01951,K00260,2
K01951,K00261,4
K01951,K00262,2
K01951,K00265,4
K01951,K00266,4
K01951,K00284,4
K01951,K00394,9
K01951,K00603,4
K01951,K00620,4
K01951,K00681,4
K01951,K00759,9
K01951,K00760,11
K01951,K00761,3
K01951,K00762,3
K01951,K00763,3
K01951,K00764,5
K01951,K00765,3
K01951,K00766,3
K01951,K00767,3
K01951,K00769,8
K01951,K00789,3
K01951,K00832,2
K01951,K00836,2
K01951,K00895,6
K01951,K00931,2
K01951,K00939,3
K01951,K01081,5
K01951,K01241,3
K01951,K01580,2
K01951,K01776,2
K01951,K01885,2
K01951,K01915,2
K01951,K01919,4
K01951,K02433,4
K01951,K02434,4
K01951,K02435,4
K01951,K02502,3
K01951,K02825,3
K01951,K03462,3
K01951,K03787,5
