src,dst,weight
K03186,K01006,1
K03186,K01595,1
K03186,K00170,5
K03186,K00176,5
K03186,K04038,1
K03186,K01627,1
K03186,K00145,1
K03186,K00169,5
K03186,K00052,5
K03186,K16212,1
K03186,K00691,1
K03186,K03783,11
K03186,K00133,1
K03186,K03784,11
K03186,K00147,1
K03186,K00789,1
K03186,K03737,5
K03186,K00134,1
K03186,K00177,5
K03186,K01616,5
K03186,K00702,1
K03186,K00634,1
K03186,K00763,1
K01095,K16212,1
K01095,K00133,1
K01095,K00789,1
K01095,K00134,1
K01095,K00702,1
K01095,K00763,1
K01095,K01006,1
K01095,K00634,1
K01095,K01595,1
K01095,K04038,1
K01095,K01627,1
K01095,K00145,1
K01095,K00691,1
K01095,K03783,11
K01095,K03784,11
K01095,K00147,1
K01641,K00262,1
K01641,K01184,2
K01641,K08968,1
K01641,K00371,2
K01641,K01424,1
K01641,K14652,1
K01641,K05349,13
K01641,K01241,1
K01641,K01096,1
K01641,K16950,1
K01641,K01749,1
K01641,K01194,1
K01641,K11533,3
K01641,K25072,1
K01641,K01486,1
K01641,K00169,1
K01641,K04042,1
K01641,K01487,1
K01641,K01095,1
K01641,K00645,1
K01641,K03426,3
K01641,K06966,4
K01641,K19302,1
K01641,K03737,1
K01641,K00627,1
K01641,K02170,1
K01641,K24954,1
K01641,K00789,1
K01641,K01771,1
K01641,K00600,1
K01641,K19270,1
K01641,K01950,1
K01641,K05526,1
K01641,K00370,2
K01641,K12373,10
K01641,K00374,2
K01641,K05350,13
K01641,K01007,1
K01641,K01439,1
K01641,K01426,5
K01641,K00384,1
K01641,K01739,1
K01641,K16951,1
K01641,K01193,6
K01641,K06153,1
K01641,K00170,1
K01641,K01236,1
K01641,K02564,1
K01641,K01251,1
K01641,K03527,1
K01641,K15524,1
K13497,K05349,13
K13497,K01749,1
K13497,K01194,1
K13497,K25072,1
K13497,K01096,1
K13497,K00382,2
K13497,K01486,1
K13497,K01487,1
K13497,K03426,3
K13497,K06966,4
K13497,K01095,1
K13497,K19302,1
K13497,K03737,2
K13497,K00764,1
K13497,K24954,1
K13497,K00789,1
K13497,K00627,2
K13497,K00600,1
K13497,K02170,1
K13497,K01714,2
K13497,K01950,1
K13497,K00370,2
K13497,K01771,1
K13497,K19270,1
K13497,K01007,3
K13497,K05526,1
K13497,K00384,1
K13497,K12373,10
K13497,K00374,2
K13497,K05350,13
K13497,K01006,2
K13497,K01193,6
K13497,K01439,1
K13497,K01426,5
K13497,K01739,1
K13497,K16951,1
K13497,K06153,1
K13497,K01236,1
K13497,K02564,1
K13497,K00832,1
K13497,K01915,1
K13497,K01251,1
K13497,K03527,1
K13497,K15524,1
K13497,K00262,2
K13497,K01184,2
K13497,K08968,1
K13497,K00371,2
K13497,K01424,1
K13497,K14652,1
K13497,K01241,1
K13497,K16950,1
K01714,K05350,13
K01714,K01439,1
K01714,K01426,5
K01714,K01739,1
K01714,K16951,1
K01714,K02564,1
K01714,K01193,6
K01714,K01251,1
K01714,K06153,1
K01714,K01236,1
K01714,K01184,2
K01714,K00371,2
K01714,K03527,1
K01714,K15524,1
K01714,K00262,1
K01714,K08968,1
K01714,K16950,1
K01714,K01424,1
K01714,K14652,1
K01714,K05349,13
K01714,K01749,1
K01714,K25072,1
K01714,K01241,1
K01714,K01096,1
K01714,K01194,1
K01714,K01486,1
K01714,K01487,1
K01714,K01095,1
K01714,K19302,1
K01714,K03426,3
K01714,K06966,4
K01714,K00789,1
K01714,K00600,1
K01714,K02170,1
K01714,K24954,1
K01714,K01771,1
K01714,K19270,1
K01714,K01950,1
K01714,K01007,1
K01714,K05526,1
K01714,K00370,2
K01714,K00384,1
K01714,K12373,10
K01714,K00374,2
K05526,K00764,1
K05526,K01739,1
K05526,K01915,1
K05526,K00832,1
K05526,K00262,1
K00634,K00164,1
K00634,K11533,1
K00634,K00382,6
K00634,K00169,1
K00634,K04021,1
K00634,K03737,1
K00634,K01638,1
K00634,K01647,1
K00634,K00627,1
K00634,K01649,1
K00634,K01616,1
K00634,K00170,1
K00634,K01641,1
K04021,K07566,1
K04021,K22270,2
K04021,K00645,1
K04021,K04561,1
K04021,K00169,2
K04021,K04042,1
K04021,K00052,2
K04021,K03426,1
K04021,K00528,1
K04021,K05895,2
K04021,K03737,2
K04021,K00481,1
K04021,K00627,1
K04021,K08351,1
K04021,K00177,1
K04021,K14266,1
K04021,K04748,1
K04021,K15981,1
K04021,K02612,1
K04021,K00384,1
K04021,K01739,1
K04021,K16951,2
K04021,K00170,2
K04021,K03465,1
K04021,K00425,1
K04021,K02610,1
K04021,K23976,1
K04021,K00176,1
K04021,K21480,1
K04021,K03527,1
K04021,K03594,1
K04021,K16950,2
K04021,K02371,2
K04021,K02609,1
K04021,K00426,1
K04021,K11533,6
K04021,K22769,1
K04021,K18277,1
K03737,K00170,4
K03737,K01641,1
K03737,K00176,1
K03737,K03527,1
K03737,K04038,1
K03737,K00164,1
K03737,K00382,7
K03737,K11533,4
K03737,K00645,1
K03737,K00169,4
K03737,K04042,1
K03737,K00052,1
K03737,K04021,1
K03737,K00627,3
K03737,K01638,1
K03737,K01714,1
K03737,K00177,1
K03737,K01647,1
K03737,K01649,1
K03737,K01616,2
K03737,K01007,1
K03737,K03186,1
K03737,K01006,1
K00852,K05939,1
K00852,K07566,1
K00852,K06920,1
K00852,K00865,1
K00852,K09903,1
K00852,K00853,2
K00852,K16329,1
K00852,K07029,1
K00852,K06211,3
K00852,K00789,1
K00852,K01916,1
K00852,K01872,1
K00852,K19710,3
K00852,K01950,1
K00852,K21147,1
K00852,K01007,1
K00852,K10747,2
K00852,K01918,1
K00852,K00763,1
K00852,K01006,1
K00852,K01915,1
K00852,K00926,2
K00852,K01910,1
K00852,K04038,1
K00852,K00940,17
K00702,K00692,1
K00702,K00963,1
K00702,K05350,1
K00702,K05349,1
K18981,K02371,2
K18981,K00426,1
K18981,K11533,3
K18981,K22769,1
K18981,K07566,1
K18981,K22270,2
K18981,K00169,1
K18981,K00052,2
K18981,K03426,1
K18981,K04561,1
K18981,K03737,1
K18981,K00528,1
K18981,K05895,2
K18981,K00481,1
K18981,K08351,1
K18981,K14266,1
K18981,K04748,1
K18981,K02612,1
K18981,K00177,1
K18981,K15981,1
K18981,K00384,1
K18981,K01739,1
K18981,K16951,2
K18981,K03465,1
K18981,K00170,1
K18981,K00425,1
K18981,K02610,1
K18981,K23976,1
K18981,K21480,1
K18981,K03527,1
K18981,K03594,1
K18981,K00176,1
K18981,K02609,1
K18981,K18277,1
K18981,K16950,2
K02502,K00789,1
K02502,K01916,1
K02502,K01872,1
K02502,K00853,2
K02502,K07029,1
K02502,K19710,2
K02502,K01950,1
K02502,K21147,1
K02502,K01007,1
K02502,K00926,2
K02502,K10747,1
K02502,K01918,1
K02502,K01006,1
K02502,K01915,1
K02502,K01910,1
K02502,K00940,16
K02502,K05939,1
K02502,K07566,1
K02502,K00852,1
K02502,K06920,1
K02502,K09903,1
K02502,K00865,1
K02502,K06211,3
K03781,K01095,2
K03781,K00052,1
K03781,K03426,6
K03781,K06966,8
K03781,K04561,1
K03781,K19302,2
K03781,K03737,1
K03781,K00481,2
K03781,K02170,2
K03781,K24954,2
K03781,K00789,2
K03781,K00528,1
K03781,K05895,1
K03781,K01771,2
K03781,K00600,2
K03781,K08351,1
K03781,K14266,2
K03781,K19270,2
K03781,K01950,2
K03781,K04748,1
K03781,K05526,2
K03781,K02612,2
K03781,K00177,1
K03781,K00370,4
K03781,K00384,3
K03781,K12373,20
K03781,K00374,4
K03781,K05350,26
K03781,K03184,1
K03781,K15981,2
K03781,K01007,2
K03781,K01439,2
K03781,K01426,10
K03781,K01739,3
K03781,K16951,3
K03781,K01193,12
K03781,K01251,2
K03781,K03465,1
K03781,K06153,2
K03781,K00170,1
K03781,K01236,2
K03781,K00425,2
K03781,K02564,2
K03781,K02610,2
K03781,K23976,1
K03781,K00176,1
K03781,K21480,2
K03781,K03527,3
K03781,K15524,2
K03781,K00262,2
K03781,K01184,4
K03781,K03594,2
K03781,K08968,2
K03781,K00371,4
K03781,K01424,2
K03781,K02371,1
K03781,K14652,2
K03781,K05349,26
K03781,K02609,2
K03781,K18277,2
K03781,K01241,2
K03781,K01096,2
K03781,K16950,3
K03781,K02826,1
K03781,K01749,2
K03781,K01194,2
K03781,K00426,2
K03781,K11533,2
K03781,K22769,2
K03781,K25072,3
K03781,K07566,1
K03781,K22270,2
K03781,K01486,2
K03781,K00169,1
K03781,K01487,2
K03781,K00432,1
K00963,K13497,1
K00963,K00763,1
K00963,K00697,1
K00963,K00764,1
K00963,K02502,1
K00963,K00789,1
K00963,K00765,1
K01918,K00763,1
K01918,K01241,1
K01918,K00764,1
K01918,K06966,1
K01918,K02502,1
K01918,K00789,1
K01918,K00765,1
K01918,K13497,1
K01910,K13497,1
K01910,K00763,1
K01910,K01241,1
K01910,K00764,1
K01910,K06966,1
K01910,K02502,1
K01910,K00789,1
K01910,K00765,1
K00170,K04021,1
K00170,K22270,1
K00170,K04561,1
K00170,K00169,5
K00170,K00052,2
K00170,K01638,1
K00170,K00528,1
K00170,K05895,1
K00170,K03737,5
K00170,K01647,1
K00170,K00481,1
K00170,K00627,2
K00170,K08351,1
K00170,K01714,1
K00170,K02612,1
K00170,K00177,3
K00170,K01649,1
K00170,K14266,1
K00170,K01616,2
K00170,K04748,1
K00170,K15981,2
K00170,K01007,1
K00170,K00384,1
K00170,K01006,1
K00170,K01739,1
K00170,K16951,1
K00170,K03186,1
K00170,K01641,1
K00170,K23976,2
K00170,K03465,1
K00170,K00425,1
K00170,K02610,1
K00170,K03594,1
K00170,K00176,3
K00170,K21480,2
K00170,K03527,3
K00170,K04038,1
K00170,K00164,1
K00170,K16950,1
K00170,K02371,1
K00170,K02609,1
K00170,K00426,1
K00170,K11533,3
K00170,K22769,1
K00170,K18277,1
K00170,K07566,1
K00170,K00382,7
K16950,K18981,1
K16950,K01739,3
K16950,K10747,1
K16950,K16951,4
K16950,K02564,1
K16950,K01193,6
K16950,K01251,1
K16950,K03465,2
K16950,K06153,1
K16950,K00170,1
K16950,K01236,1
K16950,K00425,1
K16950,K02610,2
K16950,K23976,2
K16950,K00176,1
K16950,K21480,1
K16950,K00371,2
K16950,K03527,2
K16950,K15524,1
K16950,K00262,1
K16950,K01184,2
K16950,K03594,1
K16950,K08968,1
K16950,K01424,1
K16950,K02371,9
K16950,K14652,1
K16950,K05349,13
K16950,K01749,1
K16950,K02609,2
K16950,K25072,1
K16950,K18277,2
K16950,K00164,1
K16950,K01241,1
K16950,K01096,1
K16950,K00382,10
K16950,K01194,1
K16950,K00426,1
K16950,K11533,10
K16950,K00605,1
K16950,K22769,2
K16950,K07566,1
K16950,K22270,1
K16950,K01486,1
K16950,K24042,1
K16950,K00169,1
K16950,K01487,1
K16950,K01095,1
K16950,K19302,1
K16950,K00052,3
K16950,K04021,1
K16950,K03426,4
K16950,K06966,4
K16950,K04561,1
K16950,K00789,1
K16950,K03737,1
K16950,K00481,2
K16950,K00627,1
K16950,K00600,1
K16950,K02170,1
K16950,K24954,1
K16950,K00134,1
K16950,K00528,1
K16950,K00177,1
K16950,K05895,1
K16950,K01771,1
K16950,K08351,2
K16950,K14266,1
K16950,K19270,1
K16950,K01950,1
K16950,K01616,1
K16950,K04748,1
K16950,K01007,1
K16950,K05526,1
K16950,K02612,2
K16950,K00370,2
K16950,K00384,3
K16950,K12373,10
K16950,K00374,2
K16950,K00322,2
K16950,K05350,13
K16950,K15981,1
K16950,K01439,1
K16950,K01426,5
K24042,K15981,1
K24042,K01739,1
K24042,K16951,2
K24042,K03465,2
K24042,K00170,1
K24042,K00425,1
K24042,K02610,1
K24042,K23976,1
K24042,K00176,1
K24042,K21480,1
K24042,K03527,1
K24042,K03594,1
K24042,K08968,1
K24042,K02371,2
K24042,K02609,1
K24042,K18277,1
K24042,K00382,1
K24042,K16950,2
K24042,K00426,1
K24042,K11533,3
K24042,K22769,1
K24042,K07566,1
K24042,K22270,2
K24042,K00605,2
K24042,K00169,1
K24042,K00052,2
K24042,K03426,1
K24042,K04561,1
K24042,K00789,1
K24042,K03737,1
K24042,K00481,1
K24042,K00600,1
K24042,K00528,1
K24042,K00177,1
K24042,K05895,2
K24042,K08351,1
K24042,K14266,1
K24042,K04748,1
K24042,K02612,1
K24042,K00384,1
K22270,K01251,1
K22270,K03527,1
K22270,K15524,1
K22270,K06153,1
K22270,K00262,1
K22270,K01184,2
K22270,K08968,1
K22270,K00371,2
K22270,K01424,1
K22270,K00164,1
K22270,K01241,1
K22270,K16950,1
K22270,K02371,8
K22270,K14652,1
K22270,K05349,13
K22270,K01749,1
K22270,K01194,1
K22270,K11533,7
K22270,K25072,1
K22270,K01096,1
K22270,K00382,10
K22270,K01486,1
K22270,K00605,1
K22270,K04021,1
K22270,K03426,4
K22270,K06966,4
K22270,K24042,1
K22270,K01487,1
K22270,K01095,1
K22270,K19302,1
K22270,K00052,2
K22270,K00789,1
K22270,K00627,1
K22270,K00600,1
K22270,K02170,1
K22270,K24954,1
K22270,K01950,1
K22270,K00134,1
K22270,K00370,2
K22270,K01771,1
K22270,K19270,1
K22270,K01616,1
K22270,K01007,1
K22270,K05526,1
K22270,K18981,1
K22270,K00384,1
K22270,K12373,10
K22270,K00374,2
K22270,K10747,1
K22270,K00322,1
K22270,K05350,13
K22270,K01193,6
K22270,K01439,1
K22270,K01426,5
K22270,K01739,1
K22270,K16951,1
K22270,K01236,1
K22270,K02564,1
K08968,K01739,1
K08968,K00384,1
K23976,K01486,1
K23976,K24042,1
K23976,K00169,1
K23976,K01487,1
K23976,K01095,1
K23976,K19302,1
K23976,K03426,3
K23976,K06966,4
K23976,K00600,1
K23976,K02170,1
K23976,K24954,1
K23976,K00789,1
K23976,K01771,1
K23976,K19270,1
K23976,K01950,1
K23976,K01007,1
K23976,K05526,1
K23976,K00370,2
K23976,K00384,1
K23976,K12373,10
K23976,K00374,2
K23976,K05350,13
K23976,K01439,1
K23976,K01426,5
K23976,K01739,1
K23976,K16951,1
K23976,K02564,1
K23976,K01193,6
K23976,K01251,1
K23976,K06153,1
K23976,K00170,1
K23976,K01236,1
K23976,K00371,2
K23976,K03527,2
K23976,K04038,1
K23976,K15524,1
K23976,K00262,1
K23976,K01184,2
K23976,K08968,1
K23976,K01424,1
K23976,K14652,1
K23976,K05349,13
K23976,K01749,1
K23976,K25072,1
K23976,K01241,1
K23976,K01096,1
K23976,K16950,1
K23976,K01194,1
K00763,K00600,1
K00763,K07029,1
K00763,K02170,1
K00763,K24954,1
K00763,K21147,1
K00763,K00789,2
K00763,K00528,1
K00763,K00177,1
K00763,K01916,1
K00763,K05895,1
K00763,K01771,1
K00763,K08351,1
K00763,K14266,1
K00763,K19710,2
K00763,K19270,1
K00763,K01950,2
K00763,K04748,1
K00763,K01007,2
K00763,K05526,1
K00763,K02612,1
K00763,K00370,2
K00763,K00384,2
K00763,K12373,10
K00763,K00374,2
K00763,K05350,13
K00763,K15981,1
K00763,K01439,1
K00763,K01426,5
K00763,K01739,2
K00763,K10747,1
K00763,K01918,1
K00763,K16951,2
K00763,K02564,1
K00763,K01006,1
K00763,K01193,6
K00763,K01915,1
K00763,K00926,2
K00763,K01251,1
K00763,K03465,1
K00763,K06153,1
K00763,K00170,1
K00763,K01236,1
K00763,K00425,1
K00763,K02610,1
K00763,K23976,1
K00763,K00176,1
K00763,K21480,1
K00763,K00371,2
K00763,K01910,1
K00763,K03527,2
K00763,K15524,1
K00763,K00262,1
K00763,K01184,2
K00763,K03594,1
K00763,K08968,1
K00763,K01424,1
K00763,K02371,1
K00763,K14652,1
K00763,K05349,13
K00763,K01749,1
K00763,K02609,1
K00763,K00940,16
K00763,K25072,1
K00763,K18277,1
K00763,K01241,1
K00763,K01096,1
K00763,K16950,2
K00763,K01194,1
K00763,K00426,1
K00763,K05939,1
K00763,K11533,2
K00763,K22769,1
K00763,K07566,2
K00763,K22270,1
K00763,K00852,1
K00763,K06920,1
K00763,K01486,1
K00763,K00169,1
K00763,K01487,1
K00763,K01095,1
K00763,K19302,1
K00763,K00052,1
K00763,K00865,1
K00763,K06211,3
K00763,K03426,3
K00763,K06966,4
K00763,K04561,1
K00763,K09903,1
K00763,K01872,1
K00763,K00853,2
K00763,K03737,1
K00763,K00481,1
K10747,K00702,1
K10747,K00634,1
K10747,K00763,3
K10747,K01006,1
K10747,K01595,1
K10747,K04038,1
K10747,K01627,1
K10747,K01241,3
K10747,K00145,1
K10747,K00691,1
K10747,K06211,1
K10747,K03783,11
K10747,K00133,1
K10747,K06966,3
K10747,K03784,11
K10747,K00147,1
K10747,K00765,2
K10747,K00764,2
K10747,K16212,1
K10747,K02502,2
K10747,K00789,3
K10747,K00134,1
K10747,K13497,2
K03784,K01486,2
K03784,K00169,1
K03784,K01487,2
K03784,K04561,1
K03784,K00052,1
K03784,K03737,1
K03784,K00528,1
K03784,K05895,1
K03784,K00481,1
K03784,K08351,1
K03784,K14266,1
K03784,K04748,1
K03784,K02612,1
K03784,K00177,1
K03784,K15981,1
K03784,K00384,1
K03784,K01739,1
K03784,K16951,1
K03784,K03465,1
K03784,K00170,1
K03784,K00425,1
K03784,K02610,1
K03784,K23976,1
K03784,K21480,1
K03784,K03527,1
K03784,K03594,1
K03784,K00176,1
K03784,K02609,1
K03784,K18277,1
K03784,K16950,1
K03784,K02371,1
K03784,K00426,1
K03784,K11533,2
K03784,K22769,1
K03784,K07566,1
K03784,K22270,1
K03783,K00481,1
K03783,K08351,1
K03783,K14266,1
K03783,K04748,1
K03783,K02612,1
K03783,K00177,1
K03783,K15981,1
K03783,K00384,1
K03783,K01739,1
K03783,K16951,1
K03783,K00170,1
K03783,K00425,1
K03783,K23976,1
K03783,K21480,1
K03783,K03527,1
K03783,K03465,1
K03783,K02610,1
K03783,K03594,1
K03783,K00176,1
K03783,K02609,1
K03783,K16950,1
K03783,K02371,1
K03783,K00426,1
K03783,K11533,2
K03783,K22769,1
K03783,K18277,1
K03783,K07566,1
K03783,K01486,2
K03783,K00169,1
K03783,K01487,2
K03783,K22270,1
K03783,K04561,1
K03783,K00052,1
K03783,K03737,1
K03783,K00528,1
K03783,K05895,1
K02826,K01771,1
K02826,K00600,1
K02826,K19270,1
K02826,K01950,1
K02826,K00370,2
K02826,K00374,2
K02826,K05350,13
K02826,K01007,1
K02826,K05526,1
K02826,K01439,1
K02826,K01426,5
K02826,K00384,1
K02826,K12373,10
K02826,K01739,1
K02826,K16951,1
K02826,K01193,6
K02826,K06153,1
K02826,K01236,1
K02826,K02564,1
