Reaction,role,metabolite
R00006,substrate,C00900
R00006,substrate,C00011
R00006,product,C00022
R00008,substrate,C06033
R00008,product,C00022
R00009,substrate,C00027
R00009,product,C00007
R00009,product,C00001
R00010,substrate,C01083
R00010,substrate,C00001
R00010,product,C00031
R00014,substrate,C00022
R00014,substrate,C00068
R00014,product,C05125
R00014,product,C00011
R00019,substrate,C00138
R00019,substrate,C00080
R00019,product,C00282
R00019,product,C00139
R00021,substrate,C00025
R00021,substrate,C00139
R00021,product,C00064
R00021,product,C00026
R00021,product,C00138
R00021,product,C00080
R00022,substrate,C01674
R00022,substrate,C00001
R00022,product,C00140
R00024,substrate,C01182
R00024,substrate,C00011
R00024,substrate,C00001
R00024,product,C00197
R00025,substrate,C18091
R00025,substrate,C00007
R00025,substrate,C01847
R00025,product,C00084
R00025,product,C00088
R00025,product,C00061
R00025,product,C00001
R00026,substrate,C00185
R00026,substrate,C00001
R00026,product,C00221
R00028,substrate,C00208
R00028,substrate,C00001
R00028,product,C00031
R00036,substrate,C00430
R00036,product,C00931
R00036,product,C00001
R00048,substrate,C04546
R00048,substrate,C00001
R00048,product,C01089
R00066,substrate,C04332
R00066,product,C00255
R00066,product,C04732
R00078,substrate,C00007
R00078,substrate,C14818
R00078,substrate,C00080
R00078,product,C14819
R00078,product,C00001
R00084,substrate,C00931
R00084,substrate,C00001
R00084,product,C01024
R00084,product,C00014
R00087,substrate,C00002
R00087,substrate,C00001
R00087,product,C00020
R00087,product,C00013
R00089,substrate,C00002
R00089,product,C00575
R00089,product,C00013
R00094,substrate,C00051
R00094,substrate,C00003
R00094,product,C00127
R00094,product,C00004
R00094,product,C00080
R00103,substrate,C00003
R00103,substrate,C00001
R00103,product,C00020
R00103,product,C00455
R00104,substrate,C00002
R00104,substrate,C00003
R00104,product,C00008
R00104,product,C00006
R00112,substrate,C00005
R00112,substrate,C00003
R00112,product,C00006
R00112,product,C00004
R00114,substrate,C00025
R00114,substrate,C00006
R00114,product,C00064
R00114,product,C00026
R00114,product,C00005
R00114,product,C00080
R00115,substrate,C00051
R00115,substrate,C00006
R00115,product,C00127
R00115,product,C00005
R00115,product,C00080
R00124,substrate,C00002
R00124,substrate,C00008
R00124,product,C00008
R00124,product,C00002
R00125,substrate,C01260
R00125,substrate,C00001
R00125,product,C00008
R00126,substrate,C00008
R00126,substrate,C00002
R00126,product,C00009
R00126,product,C01260
R00127,substrate,C00002
R00127,substrate,C00020
R00127,product,C00008
R00130,substrate,C00002
R00130,substrate,C00882
R00130,product,C00008
R00130,product,C00010
R00131,substrate,C00086
R00131,substrate,C00001
R00131,product,C00011
R00131,product,C00014
R00132,substrate,C01353
R00132,product,C00011
R00132,product,C00001
R00135,substrate,C00012
R00135,substrate,C00001
R00135,product,C00148
R00135,product,C00012
R00137,substrate,C00002
R00137,substrate,C00455
R00137,product,C00013
R00137,product,C00003
R00139,substrate,C11038
R00139,substrate,C00002
R00139,product,C11039
R00139,product,C00008
R00143,substrate,C00014
R00143,substrate,C00003
R00143,substrate,C00001
R00143,product,C00192
R00143,product,C00004
R00143,product,C00080
R00150,substrate,C00002
R00150,substrate,C00014
R00150,substrate,C00288
R00150,product,C00008
R00150,product,C00169
R00150,product,C00001
R00156,substrate,C00002
R00156,substrate,C00015
R00156,product,C00008
R00156,product,C00075
R00158,substrate,C00002
R00158,substrate,C00105
R00158,product,C00008
R00158,product,C00015
R00161,substrate,C00002
R00161,substrate,C00061
R00161,product,C00013
R00161,product,C00016
R00174,substrate,C00002
R00174,substrate,C00250
R00174,product,C00008
R00174,product,C00018
R00177,substrate,C00009
R00177,substrate,C00013
R00177,substrate,C00019
R00177,product,C00002
R00177,product,C00073
R00177,product,C00001
R00178,substrate,C00019
R00178,substrate,C00080
R00178,product,C01137
R00178,product,C00011
R00182,substrate,C00020
R00182,substrate,C00001
R00182,product,C00147
R00182,product,C00117
R00183,substrate,C00020
R00183,substrate,C00001
R00183,product,C00212
R00183,product,C00009
R00185,substrate,C00002
R00185,substrate,C00212
R00185,product,C00008
R00185,product,C00020
R00188,substrate,C00054
R00188,substrate,C00001
R00188,product,C00020
R00188,product,C00009
R00189,substrate,C00002
R00189,substrate,C00857
R00189,substrate,C00014
R00189,product,C00020
R00189,product,C00013
R00189,product,C00003
R00190,substrate,C00020
R00190,substrate,C00013
R00190,product,C00147
R00190,product,C00119
R00191,substrate,C00575
R00191,substrate,C00001
R00191,product,C00020
R00192,substrate,C00021
R00192,substrate,C00001
R00192,product,C00212
R00192,product,C00155
R00193,substrate,C00021
R00193,substrate,C00001
R00193,product,C03431
R00193,product,C00014
R00194,substrate,C00021
R00194,substrate,C00001
R00194,product,C03539
R00194,product,C00147
R00196,substrate,C00186
R00196,substrate,C00125
R00196,product,C00022
R00196,product,C00126
R00196,product,C00080
R00197,substrate,C00256
R00197,substrate,C00125
R00197,product,C00022
R00197,product,C00126
R00197,product,C00080
R00199,substrate,C00002
R00199,substrate,C00022
R00199,substrate,C00001
R00199,product,C00020
R00199,product,C00074
R00199,product,C00009
R00200,substrate,C00002
R00200,substrate,C00022
R00200,product,C00008
R00200,product,C00074
R00203,substrate,C00546
R00203,substrate,C00003
R00203,substrate,C00001
R00203,product,C00022
R00203,product,C00004
R00203,product,C00080
R00206,substrate,C00002
R00206,substrate,C00022
R00206,substrate,C00009
R00206,product,C00020
R00206,product,C00074
R00206,product,C00013
R00207,substrate,C00022
R00207,substrate,C00009
R00207,substrate,C00007
R00207,product,C00227
R00207,product,C00027
R00207,product,C00011
R00209,substrate,C00022
R00209,substrate,C00010
R00209,substrate,C00003
R00209,product,C00024
R00209,product,C00011
R00209,product,C00004
R00209,product,C00080
R00212,substrate,C00024
R00212,substrate,C00058
R00212,product,C00010
R00212,product,C00022
R00214,substrate,C00149
R00214,substrate,C00003
R00214,product,C00022
R00214,product,C00011
R00214,product,C00004
R00214,product,C00080
R00215,substrate,C00497
R00215,substrate,C00003
R00215,product,C00022
R00215,product,C00011
R00215,product,C00004
R00215,product,C00080
R00216,substrate,C00149
R00216,substrate,C00006
R00216,product,C00022
R00216,product,C00011
R00216,product,C00005
R00216,product,C00080
R00217,substrate,C00036
R00217,product,C00022
R00217,product,C00011
R00220,substrate,C00065
R00220,product,C00022
R00220,product,C00014
R00226,substrate,C06010
R00226,substrate,C00011
R00226,product,C00022
R00228,substrate,C00084
R00228,substrate,C00010
R00228,substrate,C00003
R00228,product,C00024
R00228,product,C00004
R00228,product,C00080
R00229,substrate,C00002
R00229,substrate,C00033
R00229,substrate,C00010
R00229,product,C00008
R00229,product,C00024
R00229,product,C00009
R00230,substrate,C00024
R00230,substrate,C00009
R00230,product,C00010
R00230,product,C00227
R00235,substrate,C00002
R00235,substrate,C00033
R00235,substrate,C00010
R00235,product,C00020
R00235,product,C00013
R00235,product,C00024
R00236,substrate,C05993
R00236,substrate,C00010
R00236,product,C00020
R00236,product,C00024
R00237,substrate,C01011
R00237,product,C00024
R00237,product,C00022
R00238,substrate,C00024
R00238,product,C00010
R00238,product,C00332
R00239,substrate,C00002
R00239,substrate,C00025
R00239,product,C00008
R00239,product,C03287
R00243,substrate,C00025
R00243,substrate,C00003
R00243,substrate,C00001
R00243,product,C00026
R00243,product,C00014
R00243,product,C00004
R00243,product,C00080
R00245,substrate,C01165
R00245,substrate,C00003
R00245,substrate,C00001
