ORF_ID,KO_ID,KO_Function,KO_Score,Secondary_KO_ID,Secondary_KO_Score
k127_3945243_2,,,20,K25996,2
k127_10486011_1,,,132,K21573,62
k127_8824877_3,K07012,cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4],221,,
k127_934408_12,K00876,"udk, UCK; uridine kinase [EC:2.7.1.48]",126,,
k127_934408_17,K07137,K07137; uncharacterized protein,414,,
k127_6852273_1,,,7,K00626,6
k127_1661177_2,,,8,K27885,7
k127_7163758_3,,,279,K25619,4
k127_8201995_3,,,8,K12574,2
k127_3529993_6,K03310,"TC.AGCS; alanine or glycine:cation symporter, AGCS family",463,K11626,46
k127_207709_1,K22132,tcdA; tRNA threonylcarbamoyladenosine dehydratase,72,,
k127_8824930_4,,,15,K16619,2
k127_5502622_3,,,10,K02982,7
k127_4568243_1,,,10,K07027,2
k127_6644681_2,,,236,,
k127_2699449_1,K12952,ctpE; cation-transporting P-type ATPase E [EC:7.2.2.-],469,,
k127_2180346_1,K03657,"uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]",495,,
k127_4049144_1,K03427,hsdM; type I restriction enzyme M protein [EC:2.1.1.72],13,,
k127_5502648_1,,,19,K15582,2
k127_6644711_2,,,13,K07014,3
k127_10278423_1,K00525,"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",404,,
k127_10278423_2,K02335,polA; DNA polymerase I [EC:2.7.7.7],573,,
k127_9240239_7,K02851,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]",76,,
k127_2076549_1,,,16,K01007,2
k127_311554_2,,,114,K15665,11
k127_5398857_1,K01770,"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]",196,,
k127_5398857_2,,,26,K21076,2
k127_1868912_1,K03561,exbB; biopolymer transport protein ExbB,72,K03562,3
k127_623056_1,,,13,K00812,2
k127_9136437_3,,,,,
k127_9136437_17,K02072,metI; D-methionine transport system permease protein,173,,
k127_8721205_2,,,43,K15654,6
k127_311579_2,,,27,K03336,10
k127_9447937_1,K03177,"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]",61,,
k127_2284190_2,,,121,K00147,3
k127_2284190_3,,,15,K02420,2
k127_2284190_6,,,14,K05989,4
k127_2284190_7,,,26,K05989,11
k127_8513569_2,K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1],520,,
k127_5710374_2,,,38,K12678,2
k127_9136484_1,,,15,K18691,4
k127_7371526_2,K03168,topA; DNA topoisomerase I [EC:5.6.2.1],354,,
k127_9032656_1,K12524,thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3],469,,
k127_8928841_2,,,36,K03199,4
k127_623105_2,K03856,"AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]",107,K04516,60
k127_9967113_1,K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein,69,K25182,21
k127_252_1,K03118,tatC; sec-independent protein translocase protein TatC,164,,
k127_4256862_1,,,14,K07002,4
k127_9967132_3,K06016,pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87],245,,
k127_5398960_1,K01711,"gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]",355,,
k127_10589982_2,,,355,,
k127_10589982_3,,,15,K07348,4
k127_8409827_1,K13525,"VCP, CDC48; transitional endoplasmic reticulum ATPase",154,,
k127_6125746_2,K03658,helD; DNA helicase IV [EC:5.6.2.4],90,K03657,5
k127_9655649_1,,,10,K03723,3
k127_9967147_4,K02529,"galR; LacI family transcriptional regulator, galactose operon repressor",119,,
k127_3322572_1,,,23,K10726,3
k127_2491958_2,K02669,pilT; twitching motility protein PilT,329,,
k127_7683109_3,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],137,,
k127_9655673_1,,,8,K03771,7
k127_3426343_2,,,8,K15842,3
k127_10070957_2,,,105,K01903,3
k127_1349929_1,K01811,"xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]",227,,
k127_207890_1,,,15,K05366,7
k127_207890_2,,,12,K18691,4
k127_7994597_2,,,27,K09607,11
k127_1038479_3,,,19,K02665,3
k127_2284330_1,,,129,K18946,3
k127_1557638_3,,,26,K12661,4
k127_1557638_4,K01810,"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]",412,,
k127_2907299_2,,,18,K13735,4
k127_3841680_3,,,137,,
k127_7267857_2,K00929,buk; butyrate kinase [EC:2.7.2.7],360,,
k127_10693928_2,,,24,K06994,2
k127_9967214_1,K01893,"NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]",428,,
k127_11109209_18,K01870,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]",991,,
k127_3634121_3,K02313,dnaA; chromosomal replication initiator protein,110,,
k127_11316892_3,K00850,"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]",296,,
k127_1557658_2,,,34,K22350,2
k127_9448164_1,K06969,rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191],119,,
k127_2595884_1,K05349,bglX; beta-glucosidase [EC:3.2.1.21],323,,
k127_2595884_2,,,17,K03930,8
k127_11316902_2,K00245,frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],258,,
k127_11316902_3,K00244,frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],662,,
k127_8202344_4,,,35,K00018,3
k127_4464669_2,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],502,,
k127_9448187_2,,,44,K13444,27
k127_623314_2,,,128,,
k127_10693992_4,K03407,"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",653,,
k127_10693992_5,K03412,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",208,,
k127_8306107_1,,,13,K07478,2
k127_6541116_2,K03694,clpA; ATP-dependent Clp protease ATP-binding subunit ClpA,583,,
k127_7683253_2,K07486,K07486; transposase,19,,
k127_2284453_1,,,11,K00574,2
k127_7371718_1,,,19,K07498,3
k127_830965_1,K05592,"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:5.6.2.7]",243,,
k127_1142467_7,K01886,"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]",163,,
k127_7683263_6,,,29,K14645,4
k127_727161_2,,,446,K21573,72
k127_830987_2,,,10,K11717,4
k127_10071138_2,,,23,K04064,3
k127_6437397_5,,,9,K03546,9
k127_5191592_2,K07085,K07085; putative transport protein,261,,
k127_3011267_1,,,14,K08997,2
k127_3738000_4,,,7,K00853,3
k127_11213205_2,K03572,mutL; DNA mismatch repair protein MutL,409,,
k127_4153261_1,,,,,
k127_6437425_6,K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",240,K02052,58
k127_1765447_3,,,13,K00336,8
k127_10694083_1,,,59,K01857,2
k127_9136796_2,K18929,lldF; L-lactate dehydrogenase complex protein LldF,350,,
k127_7890903_1,,,12,K13929,3
k127_3322789_2,K07126,K07126; uncharacterized protein,253,,
k127_2595976_2,,,13,K01939,7
k127_6126017_2,K03658,helD; DNA helicase IV [EC:5.6.2.4],79,K03657,5
k127_1765472_3,K13581,ccrM; modification methylase [EC:2.1.1.72],74,K00571,48
k127_1246315_7,K01918,panC; pantoate--beta-alanine ligase [EC:6.3.2.1],253,,
k127_7579548_2,,,11,K00928,3
k127_8306234_1,K01493,comEB; dCMP deaminase [EC:3.5.4.12],109,,
k127_5399285_3,K02564,"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]",42,,
k127_4464810_3,,,19,K03734,2
k127_3426563_1,K00603,fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2],33,,
